,original,word_segmentation,Correct,v2,Correct 2,v2_twitter,Correct 3,v3_twitter,
285,diarioextrabogo,diario extra bogo,1,diario extra bogo,1,diario extra bogo,1,diario extra bogo,VERDADERO
286,movistarco,movistar co,1,movistar co,1,movistar co,1,movistar co,VERDADERO
287,alaire,al aire,1,al aire,1,al aire,1,al aire,VERDADERO
288,objetadoduque,objetado duque,1,objetado duque,1,objetado duque,1,objetado duque,VERDADERO
289,deportescon,deportes con,1,deportes con,1,deportes con,1,deportes con,VERDADERO
290,numeral767,numeral 767,1,numeral 767,1,numeral 767,1,numeral 767,VERDADERO
291,movilidadinteligente,movilidad inteligente,1,movilidad inteligente,1,movilidad inteligente,1,movilidad inteligente,VERDADERO
292,cali,cali,1,cali,1,cali,1,cali,VERDADERO
293,aguantelaempanada,aguante la empanada,1,aguante la empanada,1,aguante la empanada,1,aguante la empanada,VERDADERO
294,nqs,nqs,1,nqs,1,nqs,1,nqs,VERDADERO
